conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,74147E+18;Sun Dec 31 14:35:14 +0000 2023;0;Tak cuma uang pangkal cek rincian biaya kuliah anak yang perlu kamu perhitungkan! Pelajari juga tips siapkan dana pendidikan di sini! https://t.co/b461kiD4lm;1,74147E+18;;;in;Ambon, Maluku;0;0;0;https://x.com/seprida_9/status/1741468057623486714;82546208;seprida_9
1,74147E+18;Sun Dec 31 14:28:22 +0000 2023;0;kinda sad sm tahun baru kali ini cuz maybe this year may be my last new year with my family sblm lanjutin pendidikan kuliah diluar kalimantan:(;1,74147E+18;;;in;T1 2021-present;0;0;0;https://x.com/zeusseonsu/status/1741466328626815214;1,1144E+18;zeusseonsu
1,74147E+18;Sun Dec 31 14:23:15 +0000 2023;0;Tak cuma uang pangkal cek rincian biaya kuliah anak yang perlu kamu perhitungkan! Pelajari juga tips siapkan dana pendidikan di sini! https://t.co/VDqbG13wiK;1,74147E+18;;;in;SBB;0;0;0;https://x.com/johncarmandolou/status/1741465043118797080;2369856479;johncarmandolou
1,7414E+18;Sun Dec 31 13:09:59 +0000 2023;0;@jaeghyunj semoga aku dapet rezeki buat kuliah sampe S2 + kuliah pendidikan profesi;1,74145E+18;;jaeghyunj;in;borderline;0;0;0;https://x.com/unschema/status/1741446605197529576;1,68708E+18;unschema
1,74144E+18;Sun Dec 31 12:39:46 +0000 2023;0;#NAME?;1,74144E+18;;yepeoji;in;;0;0;0;https://x.com/yepeoji/status/1741439001238937955;1,32986E+18;yepeoji
1,74141E+18;Sun Dec 31 10:51:53 +0000 2023;0;serta mempermudah distribusi berbagai program bansos termasuk subsidi pendidikan seperti Program Indonesia Pintar Kartu Indonesia Pintar (KIP) dan Kartu Indonesia Pintar Kuliah.;1,74141E+18;;YudhaShanny2;in;Indonesia;0;0;0;https://x.com/YudhaShanny2/status/1741411849047069183;1,24429E+18;YudhaShanny2
1,74141E+18;Sun Dec 31 10:37:09 +0000 2023;3;Karena kelamaan menikmati pendidikan dasar-menengah dan pendidikan vokasi dengan kualitas rendah akhirnya memandang kuliah sebagai necessity. Bahkan sampai ada capres yang latah punya program 1 KK 1 Sarjana.;1,74141E+18;;multabolot;in;Paris, France;0;0;1;https://x.com/multabolot/status/1741408140036321348;1,72676E+18;multabolot
1,74141E+18;Sun Dec 31 10:30:51 +0000 2023;207;I beg to disagree PTN terutama universitas sejak awal didesain untuk pusat riset. Sehingga harusnya gak semua orang perlu kuliah untuk bisa hidup berkecukupan. Jadi solusi yg bagus bukan murahin PTN tapi benerin kualitas pendidikan dasar-menengah.;1,74141E+18;;;in;Paris, France;13;11;62;https://x.com/multabolot/status/1741406556980199687;1,72676E+18;multabolot
1,74138E+18;Sun Dec 31 10:12:01 +0000 2023;0;@unnesmenfess aamiin kalau ada niat baik buat nerusin pendidikan mesti ada jalannya nder semoga kamu selalu di beri kemudahan buat kuliah;1,7414E+18;;unnesmenfess;in;entah berantah ;0;0;0;https://x.com/aaallent/status/1741401816217362519;1,09378E+18;aaallent
1,7414E+18;Sun Dec 31 09:54:33 +0000 2023;0;Gue disitu sakit hati bingung. Si ibu ini keliatan baik gue sama sekali gatau kalau bakal kaya gini. Gue mikir gue salah apa? Gue gak ditegur salahnya gue dimana tapi langsung ke pendidikan. Gue juga maunya kuliah duit darimana? Gue bodoh banget disitu.;1,7414E+18;;taeggukbby;in;she/her ⸙͎۪۫ ;0;1;0;https://x.com/taeggukbby/status/1741397422616781165;1,16657E+18;taeggukbby
